"treeID","Height_m","Point_Count","Crown_Area_m2","Crown_Diameter_m","X","Y"
128,12.7295,473,24.6478393427096,5.6020178278382,476717.475419132,5429268.00840673
140,5.921,789,27.4009514085483,5.90660434570747,476712.92664764,5429265.78274572
160,4.6915,265,15.255531967734,4.40726066591146,476697.064970982,5429256.75061622
163,6.40175,410,11.0581710315309,3.75229271909722,476690.846288153,5429256.43233749
165,7.15225,273,11.932878094085,3.89787278805928,476686.16455848,5429256.06093953
171,10.8695,1226,14.6012912189472,4.31172139454276,476682.384268502,5429254.2812594
175,8.507,1879,18.9988994074956,4.91834830324865,476693.235181147,5429254.56193503
179,7.23375,486,11.6343170300242,3.84880143922918,476689.012834104,5429253.67904732
186,8.522,2479,29.086533093825,6.08556687205933,476684.734161587,5429251.37784143
189,6.80525,2202,14.3237119378682,4.27054053565693,476689.220608239,5429250.490713
193,10.49975,767,27.5761442182702,5.92545671742032,476718.836591459,5429250.34786411
196,9.286,644,18.4851482507511,4.85139379386464,476679.173498786,5429249.78405643
200,8.84525,941,18.263690062915,4.82224557865835,476675.182240848,5429249.62506852
203,7.65775,238,5.36808981272043,2.61435732623634,476664.616398163,5429248.31091788
204,12.56225,1589,14.4142248752178,4.28401226863702,476672.833971479,5429247.96038845
205,8.01,1431,14.1029484053724,4.23750299198477,476684.007713834,5429248.13505664
206,8.02175,1410,40.5515458123118,7.18552932833587,476713.205176477,5429248.08962098
209,9.3915,925,10.9081287186127,3.72674936688785,476665.060593315,5429245.76438803
213,8.901,1967,13.5933736555162,4.1602428876887,476676.802563893,5429245.70444555
214,7.7515,1988,13.8207558132126,4.1948936624795,476680.685927598,5429246.15130262
219,5.77775,1154,19.113798248698,4.93319812903678,476659.623827682,5429244.0744273
225,10.0365,6066,19.8907084071107,5.03245829756486,476672.834117835,5429243.74252786
230,6.157,2472,38.7467013737187,7.02380469667707,476667.758831859,5429244.19046114
242,9.62325,1062,25.9900884373346,5.75253060570551,476656.483116227,5429241.02655426
243,6.9345,1542,13.4206671580905,4.13373005195179,476662.645813012,5429241.68607869
246,8.54575,297,17.8119070944376,4.76222894029537,476652.434504648,5429239.94110904
247,18.46125,553,27.8503140000394,5.95484014211477,476717.896679903,5429240.55718441
251,8.33,1184,25.7571744682646,5.72669652536585,476646.831420684,5429238.323825
253,9.0035,1811,21.4916263135383,5.23105997892088,476658.940735684,5429239.41247158
254,19.31325,546,11.8813855298795,3.88945367666035,476721.404485803,5429238.02669849
265,8.96675,2083,16.4231128107058,4.57280621481353,476654.072949445,5429236.11706204
269,10.30075,1225,25.7839914689539,5.72967691579431,476643.203532311,5429234.81874901
270,7.95525,3469,25.8679385320283,5.73899662656783,476649.846622604,5429234.81641097
279,8.52225,1355,13.7894553120132,4.19014078565548,476638.659049417,5429232.75609558
288,8.71725,4632,27.4709721842228,5.91414644029653,476644.603751425,5429231.37521151
290,9.4595,933,15.4292980623868,4.43228975141929,476636.764070973,5429230.68301413
293,9.35475,693,16.5843788445927,4.59520260378198,476632.477726725,5429229.76106396
295,10.3455,3789,20.8431559678866,5.15153670426562,476637.449274219,5429228.25833449
297,5.99425,854,32.3701303754933,6.41988551785084,476789.714912368,5429227.58860745
298,6.566,1290,26.2363441562629,5.77971892820362,476626.051704125,5429227.83241627
299,9.0465,3046,25.5279437194695,5.70115667557051,476631.607302971,5429226.54521039
300,11.847,344,22.3709966567112,5.33700642668367,476784.181063657,5429227.66569969
311,8.5065,800,18.0921442500548,4.79954513555428,476617.550081208,5429224.12086984
314,16.9315,300,31.4028460639529,6.32323852356178,476827.564889683,5429223.8631407
316,8.14175,1358,16.4490344686201,4.57641356939676,476622.173974941,5429224.04716049
319,8.77,1220,14.1365624060854,4.24254997401851,476626.240269524,5429224.11942099
321,29.83775,685,17.5435475007398,4.72621819564878,476830.302736186,5429223.36565355
324,8.33525,1595,23.3065948103904,5.4474652973386,476611.054364152,5429221.68477076
325,21.75475,337,30.5247280922486,6.23420330911169,476710.077019447,5429224.24500125
329,10.98375,939,26.9046076558298,5.85286343621538,476734.640628364,5429221.52093313
333,9.02025,2358,21.0731987816398,5.17988706661146,476618.752367135,5429220.67906664
341,9.99725,1540,14.4007648112311,4.28201158710366,476599.835309679,5429218.37134466
344,12.54175,846,17.5057062511332,4.72111824226638,476728.930861366,5429217.16290421
345,14.736,330,18.792431810929,4.89155060521853,476789.788878491,5429217.15773113
349,7.595,1378,14.6591635622317,4.32025771686993,476607.05931938,5429218.04790315
350,22.20425,279,9.30943897028919,3.44283979242003,476782.982097895,5429216.88616208
354,13.85125,2500,23.7528436243738,5.49936903675896,476732.34902491,5429216.31480196
356,22.9805,466,14.7238317182637,4.32977652930486,476820.021071572,5429215.06136984
357,21.98625,663,26.9652671251097,5.8594576914623,476705.362357905,5429217.38327587
358,22.60525,252,17.3494552195771,4.70000132608252,476786.687971519,5429215.55537926
359,9.1105,321,18.0503334061359,4.79399606678462,476799.159316932,5429216.59189409
360,21.5945,817,14.2968758131028,4.26653813429696,476782.0584623,5429213.81454394
361,6.50075,1269,22.3924075308896,5.33955979179502,476597.9972468,5429215.27590055
362,16.34725,414,19.2627350006369,4.95238083577636,476805.746174161,5429214.07195915
364,4.13125,219,11.006843812298,3.74357433538342,476769.845604994,5429213.13600864
365,20.2605,604,16.0924709373503,4.52654066257399,476837.894801353,5429213.78779768
366,21.87875,336,18.7574039064348,4.88698970842405,476849.195240445,5429212.17742709
368,9.65625,3150,26.3969351578853,5.79738058978617,476594.547699297,5429213.01355003
370,11.94075,632,38.7318187820492,7.02245564691022,476786.905433512,5429212.64132024
371,10.99625,487,46.2409275012324,7.67305528976566,476836.218603724,5429211.96706199
373,17.833,361,16.2482789381756,4.54840095835588,476830.320662693,5429210.39513483
375,22.183,272,19.2181165925867,4.94664189334668,476702.362645939,5429213.13522386
376,17.299,378,37.1370873429114,6.87636591385875,476778.605470538,5429211.93795126
383,10.77875,1821,26.3017330629518,5.7869168501732,476592.226792519,5429209.80445832
384,21.876,367,25.0067328772857,5.64265550817955,476794.336815045,5429207.89213536
390,14.799,613,27.8648877497762,5.9563979880983,476904.37552012,5429210.25191244
392,16.2985,252,23.0077664046548,5.41242995542997,476781.417326521,5429207.35660023
396,24.864,1993,27.0977355930954,5.87383252484327,476849.747054383,5429207.5328929
400,11.99375,436,33.6889162816515,6.54935572625819,476775.133838442,5429206.23828983
401,34.3295,238,30.0069875018671,6.18110694825377,476809.069502856,5429207.2683821
407,9.60325,698,13.2837083739578,4.11258347057572,476571.725600445,5429205.08509931
408,32.89375,459,14.6748947178712,4.32257518958535,476837.384377171,5429205.11253128
411,25.831,662,13.1357069374062,4.08960896917512,476794.591627974,5429204.39483895
412,24.233,211,30.1913029364077,6.20006135499587,476832.693958123,5429202.49557741
415,24.12425,715,25.0000264362898,5.64189881849264,476803.953323505,5429203.16583395
416,40.00175,1200,25.6382733109058,5.71346334880809,476819.965392043,5429203.56453347
417,26.692,6436,44.1910158432147,7.50104985276055,476778.670847003,5429202.36940408
418,36.09725,420,28.4791188436793,6.02168915761889,476814.560461447,5429202.38310945
420,22.9225,428,29.6555423755199,6.14480343648853,476696.373463297,5429203.54159138
426,25.73425,799,13.6753641572432,4.17277059441995,476795.977889834,5429202.04094943
427,43.9775,1511,31.2370838137576,6.30652760034259,476809.147996669,5429201.75048201
428,37.926,907,19.558806467423,4.99029516583386,476828.705930212,5429201.08701222
431,24.826,1180,31.3174571567215,6.31463576879039,476823.089317957,5429200.70059297
432,16.10275,281,20.3198788432637,5.0864597990617,476891.28857052,5429200.65018923
434,15.80725,783,30.202349500265,6.20119550793632,476792.008817384,5429199.95161387
435,24.736,773,16.8865219991421,4.63687260794903,476796.999303822,5429199.57600819
436,18.06175,389,18.1635959382984,4.80901326918865,476869.441144079,5429200.87573316
439,24.86375,1391,29.801832406898,6.15994087033573,476802.199313334,5429199.30284346
441,16.90475,2622,35.9137868757825,6.76216338544382,476781.799497085,5429199.27669267
442,26.0535,202,8.99883890652563,3.38491913529552,476788.500326781,5429197.59005076
443,19.622,488,19.2243391883094,4.94744266019904,476853.621444955,5429197.93140144
445,19.70075,872,23.2922490617493,5.44578851877666,476785.962944237,5429198.77921393
446,24.96525,1212,16.9021363761276,4.63901588966802,476868.576517525,5429197.93946459
450,9.172,337,42.793503345456,7.38148905825857,476849.866599697,5429198.4087519
454,33.4075,249,24.0485849367687,5.53349883314493,476831.369759948,5429196.72328384
456,33.861,789,26.4790128126042,5.80638667490865,476856.636682108,5429195.89691727
458,42.0285,229,19.1899935310939,4.9430212043851,476922.539942332,5429198.148193
460,23.26225,655,35.8206347502419,6.75338794099099,476691.699606439,5429197.34446039
461,39.29275,1157,32.5204340311466,6.43477292687216,476810.284649826,5429197.26452374
464,18.0825,1461,25.3554541873164,5.68186298198152,476762.420368796,5429194.83097435
465,14.4085,2300,15.0619173110172,4.37920412174612,476783.376083354,5429195.8733028
469,18.7885,6539,60.2052123444155,8.75532164778013,476772.858084314,5429195.00750192
470,13.26975,1465,11.6811091888376,3.85653343633856,476784.604710505,5429193.76916739
473,22.988,597,17.2546459057121,4.6871417193803,476909.153512857,5429193.84594162
474,23.05825,2609,40.0660583758727,7.14238685075435,476795.72954123,5429193.9023588
475,37.4365,4041,36.3014486266766,6.79856160688837,476805.659018604,5429195.0999182
476,11.89325,506,44.965513251489,7.56649652224256,476871.794870023,5429194.46155264
477,30.475,3580,43.9083173146937,7.47701851996153,476812.590934694,5429192.58790149
481,7.83175,257,9.64571609348059,3.50446959859946,476923.172663951,5429192.40601503
